start_time,open,high,low,close,volume,turnover
2026-01-06 19:45:00+00:00,4475.9,4477.6,4473.8,4475.9,33.461,149765.7655
2026-01-06 20:00:00+00:00,4475.9,4479.5,4475.1,4479.5,42.221,189017.7439
2026-01-06 20:15:00+00:00,4479.5,4480.5,4478.7,4479.0,32.223,144361.294
2026-01-06 20:30:00+00:00,4479.0,4482.4,4477.5,4482.4,48.222,216011.2585
2026-01-06 20:45:00+00:00,4482.4,4488.9,4482.0,4486.8,115.171,516624.2216
2026-01-06 21:00:00+00:00,4486.8,4486.8,4485.1,4485.1,42.44,190392.207
2026-01-06 21:15:00+00:00,4485.1,4487.4,4485.1,4487.3,38.553,172957.6275
2026-01-06 21:30:00+00:00,4487.3,4491.6,4487.3,4489.1,183.801,825227.879
2026-01-06 21:45:00+00:00,4489.1,4489.2,4486.2,4486.2,30.048,134852.771
2026-01-06 22:00:00+00:00,4486.2,4490.6,4485.5,4490.6,78.383,351762.435
2026-01-06 22:15:00+00:00,4490.6,4490.6,4490.3,4490.5,40.839,183389.244
2026-01-06 22:30:00+00:00,4490.5,4491.6,4490.0,4490.0,35.511,159479.7865
2026-01-06 22:45:00+00:00,4490.0,4490.1,4487.9,4488.3,49.58,222553.6999
2026-01-06 23:00:00+00:00,4488.3,4493.0,4488.0,4490.2,169.468,760893.0099
2026-01-06 23:15:00+00:00,4490.2,4494.3,4490.2,4492.4,99.858,448614.4187
2026-01-06 23:30:00+00:00,4492.4,4493.3,4488.4,4488.5,36.279,162916.7983
2026-01-06 23:45:00+00:00,4488.5,4488.5,4485.4,4485.8,85.886,385375.1052
2026-01-07 00:00:00+00:00,4485.8,4487.3,4483.3,4486.5,46.269,207513.8308
2026-01-07 00:15:00+00:00,4486.5,4486.7,4482.7,4483.1,55.948,250875.2224
2026-01-07 00:30:00+00:00,4483.1,4486.1,4481.9,4483.1,118.658,532054.5207
2026-01-07 00:45:00+00:00,4483.1,4484.0,4476.8,4484.0,126.259,565498.8937
2026-01-07 01:00:00+00:00,4484.0,4487.3,4464.9,4466.8,331.742,1483612.323
2026-01-07 01:15:00+00:00,4466.8,4471.1,4464.9,4469.7,678.183,3029728.0529
2026-01-07 01:30:00+00:00,4469.7,4470.3,4458.6,4461.2,280.352,1251056.3999
2026-01-07 01:45:00+00:00,4461.2,4463.2,4455.8,4459.0,164.728,734523.4524
2026-01-07 02:00:00+00:00,4459.0,4467.0,4451.4,4464.9,465.954,2076119.237
2026-01-07 02:15:00+00:00,4464.9,4467.2,4462.1,4466.4,189.777,847324.0366
2026-01-07 02:30:00+00:00,4466.4,4471.1,4466.3,4469.4,94.391,421833.6141
2026-01-07 02:45:00+00:00,4469.4,4471.2,4467.7,4468.6,53.181,237681.1035
2026-01-07 03:00:00+00:00,4468.6,4469.3,4465.1,4466.7,100.963,451051.3179
2026-01-07 03:15:00+00:00,4466.7,4471.8,4465.2,4469.5,76.131,340106.4363
2026-01-07 03:30:00+00:00,4469.5,4471.3,4468.2,4470.4,36.895,164907.9139
2026-01-07 03:45:00+00:00,4470.4,4470.4,4467.5,4467.5,38.552,172298.9969
2026-01-07 04:00:00+00:00,4467.5,4468.5,4462.3,4463.3,155.806,695648.9143
2026-01-07 04:15:00+00:00,4463.3,4464.8,4459.2,4459.2,275.587,1229627.1762
2026-01-07 04:30:00+00:00,4459.2,4460.9,4456.5,4457.9,112.585,501980.2523
2026-01-07 04:45:00+00:00,4457.9,4459.3,4456.9,4457.6,98.586,439457.3911
2026-01-07 05:00:00+00:00,4457.6,4460.0,4456.0,4459.2,103.509,461490.9478
2026-01-07 05:15:00+00:00,4459.2,4463.2,4459.2,4462.6,47.262,210844.2304
2026-01-07 05:30:00+00:00,4462.6,4462.6,4443.3,4445.4,297.657,1324046.708
2026-01-07 05:45:00+00:00,4445.4,4447.5,4437.3,4447.5,265.888,1180860.8697
2026-01-07 06:00:00+00:00,4447.5,4452.0,4447.3,4450.3,89.1,396401.6045
2026-01-07 06:15:00+00:00,4450.3,4453.9,4447.3,4450.1,80.09,356426.6762
2026-01-07 06:30:00+00:00,4450.1,4450.1,4439.1,4441.3,101.807,452279.2096
2026-01-07 06:45:00+00:00,4441.3,4444.8,4437.3,4438.8,320.526,1423245.1449
2026-01-07 07:00:00+00:00,4438.8,4445.4,4437.8,4445.4,42.164,187281.8312
2026-01-07 07:15:00+00:00,4445.4,4449.4,4444.1,4449.4,44.818,199289.8683
2026-01-07 07:30:00+00:00,4449.4,4454.4,4448.8,4453.1,62.48,278148.2166
2026-01-07 07:45:00+00:00,4453.1,4458.2,4453.1,4456.8,88.231,393200.3698
2026-01-07 08:00:00+00:00,4456.8,4460.7,4455.4,4459.7,144.346,643537.7505
2026-01-07 08:15:00+00:00,4459.7,4462.9,4459.3,4460.2,103.165,460250.8721
2026-01-07 08:30:00+00:00,4460.2,4468.2,4459.6,4461.4,158.621,708111.3431
2026-01-07 08:45:00+00:00,4461.4,4465.1,4460.2,4463.9,156.391,698025.5756
2026-01-07 09:00:00+00:00,4463.9,4464.1,4458.0,4463.3,464.458,2072096.2902
2026-01-07 09:15:00+00:00,4463.3,4463.7,4458.5,4458.5,112.336,501206.6638
2026-01-07 09:30:00+00:00,4458.5,4461.3,4457.9,4458.4,86.244,384592.476
2026-01-07 09:45:00+00:00,4458.4,4462.2,4457.1,4460.6,56.23,250795.6478
2026-01-07 10:00:00+00:00,4460.6,4462.3,4458.7,4461.7,70.096,312647.3253
2026-01-07 10:15:00+00:00,4461.7,4463.2,4455.8,4456.6,84.997,379085.171
